text,pred
eu vou me matar na frente da pessoa que vez isso,1
pretendo me matar a meia noite,0
"""vou falar que nem sua filha beatriz das trevas eu qurro e me matar"" e logo em seguida minha mae falando ""da vontade pegar a corda botar no pescoco e hdbekqmqpqlwo"" to rindo que odio",0
sla carai vo me matar,1
"vamo parar de falar que vai me matar fiote, se pesa 50kg molhado e e duro dms pra ter uma faca em casa qm dira arma",0
"se tu soubesse o que eu fiz hoje com dinheiro, tu me matava, alias, tu vai me matar...",0
nossa hoje o primeiro trabalho foi tranquilo pra compensar que eu ia me matar no de agora,0
vou me matar na sua frente,1
esse jogo ainda vai me matar (valorant,0
prefiro me matar (iisily mas amo mt our,0
aasssssssaaaaasaaasssssssddwaasaaaaasss porque querem tanto saber oq eu vou fazer depois da escola eu vou me matar eh isso quw voces querem ouvir que saco,0
eu quero me matar,1
apague pfv vc vai aumentar a taxa de suicidio,1
"e com imenso prazer que anuncio a minha presenca no dia de finados!! viagem so de ida diretamente para o inferno, com direito a open bar!! venha participar desta grande celebracao!! quando? 02/11/2025 (finados) o que fazer? suicidio coletivo onde? anta gorda - rs balanca caixao!!",0
"sou uma trouxa, eu devia me matar",0
saudades de qnd essa era maluca e nao suicida,0
"eu toda fodida da saude fisica e mental, tendo crises que sou autodestrutiva e sempre me machuco ou tento me matar tmb negada",0
to desconfiando que esse perfume ta me dando dor de cabeca toda vez que uso ele e a mesma coisa vou me matar ele e tao bom,0
vou me matar dps desse comentario,1
vou me matar porque pensei numa fantasia de grupo tao tao boa pra fazer com minhas amigas mas ninguem mora junto nem tem festa pra ir,0
que ja te deram/fizeram romanticamente? carta de amor: nao retrato: nao poema: nao chocolates: nao recebeu buque: nao musica: nao alianca: nao pedido de namoro: nao presente: nao mandaram eu me matar: sim,0
gracas a deus ano passado o james mcavoy ficou em 3 por causa que essa conta posta sempre a mesma foto dele e eu faltei me matar,0
irmao vou me matar,1
se o flamengo se complicar com um time basicamente rebaixado eu me suicidio,1
af por que ficar doente logo no final de semana? vou me matar,0
"um significante, segundo saussure, so existe numa relacao entre os demais significantes e seus respectivos significados. concluimos, portanto, que eu vou me matar",0
querendo me matar aqui porque nao vou conseguir ver o filme do gd,0
meu bem eu vou me matar,1
"a uff vai me matar pqp e seminario, e relatorio, e prova de anatomia, biologia celular, histologia, e video... pqp vou trancar o curso",0
ate terca feira ou eu cometo um homicidio ou suicidio,1
meudeus e exatamente isso eu vou me matar,1
nossa eu vou me matar na sua frente,1
vou me matar logo,1
"tem um bicho desse tamanho no meu quarto eu to sozinha em casa, nao tem veneno e esse demonio nao sai daqui algm me salva eu vou me matar",0
da vontade de me matar toda vez que isso acontece,1
oii vou me matar,1
lei obriga aracaju a instalar protecao em pontes para prevenir suicidio | f5 news - sergipe atualizado,1
vou me matar,1
"vou me matar , voces vao ver.",1
irei me matar,0
bixa eu preciso de paz se nao eu vou me matar antes do natal,0
algo vai me matar ou hoje ou amanha ou segunda,0
irmao mentira eu nao acredito nisso eu vou me matar,1
esse shampoo com cheiro de energetico ainda vai me matar foda vai ser morrer pelado no banho,0
"nao pode mais fazer pose de pai divorciado que ja vem militar, vou me matar na sua frente",0
juro que se foi na usp e eu perdi a chance de tirar foto com vcs eu vou me matar,0
"""quer me matar, telma?""",0
vou me matar que bixo feio,1
em aproximadamente uma hora e meia de conversa com a ana clara eu quis me matar umas 15 vezes porque eu nao sabia que ela me odiava tanto assim. a intencao era me ajudar e ela me deixou mais traumatizada,0
se vier um album americanizado eu vou me matar,1
to prestes a cometer suicidio em praca publica porque nao esperava nada disso,1
nao aceito gente de 17 anos com a barba bonita assim meu deus eu vou me matar,0
"nao tenho nada contra a jaque muniz, de forma alguma. nao a hostilizo, mas dizer que drone e brinquedo e achar que alguem, a menos que seja suicida, va pensar em tacar pedras em alguem armado com um fuzil e um absurdo. tem de admitir que isso foi um absurdo. pelo amor de deus.",0
so de pensar no requiem nao rodando no meu pc ja quero me matar,0
obrigada por mostrar pra populacao brasileira tudo que os nossos policiais passaram nessa operacao suicida contra esses narcotraficantes. estou apavorada com essas imagens,0
tenho vontade de me matar as vzs (sempre que eu fico sozinha por 1 segundo,1
pensando aqui em me matar mas so se tiver ok pra todo mundo,1
aqlo la tlgd kkkkkkkk suicidio,1
pare de dizer que nao me ama qye nao vai voltar que eu nao sou mqis o dono do seu coracao que eu posso ate me matar,0
irmao eu pedi tanto por isso e vou ter que faltar porque vou estar em aula de canpo eu vou me matar,0
so de pensar que domingo que vem tem enem da vontade de me matar hoje mesmo,0
suicidio pre enem,1
"estava escrevendo isso, e ele acabou de derrubar minha caipirinha toda no chao. eu vou me matar",0
nn vou mais fazer nenhuma prova vou me matar mesmo,1
que inveja pqp e eu nao recebi convite flashback da premiere de wicked vou me matar,1
vo me matar,1
pensando aqui se isso e sexo ou suicidio,1
"ate porque eles atraem o publico que a gente tanto quer inserir no mma, o publico comum, mas talvez seja hora mesmo de deixar isso de lado, continuar minha faculdade e viver e ajudar quando puder e para de me matar pra ajudar. e igual rei arthur achando que existia uma roma",0
"de verdade, a unica solucao e eu me matar",0
um ano de termino e ele lembrou que eu tava no plano familia do spotify e me removeu eu vou me matar,0
nada explica a vontade colossal que eu to de me matar nos ultimos meses pprt,1
esse time vai me matar,0
to sentindo que to entrando em ressaca literaria dnv vou me matar,1
esqueci de postar um trabalho no moodle que raiva vou me matar,1
eu nao vi a bandeira pan e bi irei cometer suicidio x.com/alissonsoarest /alissonsoarest4/status/1984964083779838042 ...,1
vou me matar,1
mds eu vou me matar,1
que parte do pescoco eu tenho que acerta pro suicidio dar certo?,1
meu deus eu vou cometer suicidio,1
vontade de matar ele matar ela e me matar,1
e quando o capitalismo junta duas coisas que eu amo em uma so em vou ter que me matar hj,0
vou cometer suicidio pqp,1
tanto lugar pra esse uber passar ai vai por esse caminho eh pra eu me matar mesmo,0
quero me matar depois de corrigir a unesp,1
cara eu nao aguento mais fazer prova eh capaz d eu me matar ate o fim dessa semana tbh,1
o dia que eu me doer com um comentario desses podem me matar,0
eu tenho certeza que esse semestre eu vou me matar,1
cansei de sofrer por viado vou me matar,1
minha tentativa de suicidio la em 2018,1
tomei vinhozinho e tocomeno bolo vo. sorvete nao irei me matar,0
eu vou me matar na sua frente,1
eu nao consegui por pouco vei vou me matar,1
sabado 23:59 vou me matar,1
eu qria me matar,1
eu vou me matar,1
a menina atras de mim viralizou e viram minha lightstick do skz que vergonha vou me matar,0
prefiro me matar,0
suicidio,1
vou me matar.,1
quero morrer me matar desviver eu nao to aguentando mais isso,1
"eu abismada junto com voce pqp, deus tem seus favoritos mesmo, eu beirando os 22 to esperando o glow up ainda e ceis me dizem que essa mana com 19 e dona dessa beleza toda? ja to podendo me matar entao",0
meu pai vai me matar de ansiedade kkkkk,0
eu vou me matar as 23h54,1
meu amigo cis pesa 54kg me vejo na obrigacao de me matar **,0
como pode acontece ser uma das minhas musicas favoritas e mesmo assim eu sinto vontade de me matar sempre que ouco superturne no youtube,0
