text,target
aquela vontade de acabar com a minha vida voltou,1
to triste e com vontade de acabar com a minha vida,1
corinthians ta querendo acabar com minha vida mesmo,0
alguem poderia por favor me dar um tiro a acabar com a minha vida,1
taylor tu vai acabar com a minha vida mulher,0
eu vou assistir o jogo todo puto mais uma vez. esse velho maldito vai conseguir acabar com a minha vida,0
alguem pode me.indicar uma serie uma boa que vai acabar com a minha vida social pelas proximas semanas??,0
tenho 76 slides p estudar obg faculdade por acabar com a minha vida social,0
eu nao concordei com um tweet da fernanda agora ela desenterrou um hit meu pra acabar com a minha vida acho lindo a amizade pos-moderna,0
sessao de foto pra acabar com a minha vida esse fudido ...,0
quem te deu permissao pra acabar com a minha vida desse jeito seu fdp te amo demais bixo escroto da minha vida todinha <3<3<3,0
se eu decidir acabar com minha vida hoje vai ser otimo porque realmente eu nao aguento mais,1
galo vai acabar com minha vida academica,0
escola vai acabar com minha vida social e isso,0
que lindo tem resumo e report de ing e ainda mais slides de artes tudo pra seg sendo e vespera de prova esses projetos tao tentando acabar com minha vida juro,0
esse meu vizinho quer acabar com a minha vida colocando esses pagodes que doi ate a alma.,0
a madonna quer acabar com a minha vida mesmo pic.twitter.com/s23kg7ocn5,0
eu nao penso em suicidio ha uns dois anos mas isso nao significa que eu nao pense em morrer. eu nunca faria algo para acabar com minha vida mas eu desejo o fim dela frequentemente. e estranho,1
a unica pessoa que eu podia desabafar e de fato me entendia eu consegui deixar escapar e como me disseram isso foi o gatilho que faltava pra me dar coragem de acabar com a minha vida . mas calma. ninguem tem culpa de nada. ninguem alem de mim.,1
esse professor de comunicacao meios e significados quer acabar com minha vida,0
eu ouco que e coisa da minha idade e que vai passar que eu so to em uma baita crise existencial. se fosse so isso eu nao estaria nesse ponto de ja ter tentando acabar com a minha vida poxa ninguem consegue se colocar no meu lugar? nao e impossivel.,1
jungkook voce ama acabar com a minha vida ne??,0
game of thrones esta voltando para acabar com minha vida,0
vontade mesmo de mandar tudo pro ar e ate mesmo acabar com minha vida,1
e eu achando que essas fotos nao iriam acabar com a minha vida ate after 2 pic.twitter.com/y9kof4prdn,0
ela vai voltar pra acabar com a minha vida ...,0
